10.054000	14.527000	h1
14.527000	20.039470	c
40.634000	45.037000	h2
45.037000	51.000000	c
71.490000	75.859000	h1
75.859000	81.545000	c
101.966000	106.438000	h2
106.438000	112.193000	c
132.475000	137.225000	h1
137.225000	142.911000	c
163.228000	167.839000	h1
167.839000	173.525000	c
193.842000	198.488000	h2
198.488000	204.208000	c
224.595000	229.102000	h1
229.102000	234.892000	c
255.209000	259.750000	h2
259.750000	265.471000	c
285.788000	290.295000	h1
290.295000	295.946000	c
316.367000	320.874000	h2
320.874000	326.560000	c
346.981000	350.136000	h1
13.348000	14.180000	p2
20.490000	21.773000	p3q
25.587000	26.662000	p1
30.233000	31.169000	p4
34.046000	34.844000	p4
37.860000	38.831000	p1
42.298000	43.165000	p1
54.294000	55.438000	p4
58.073000	59.252000	p1
62.095000	63.031000	p4
65.943000	67.399000	p1
70.207000	71.490000	p1
74.264000	75.131000	p4
81.822000	83.244000	p1
85.844000	86.919000	p4
89.554000	90.802000	p1
93.541000	94.615000	p4
97.181000	98.394000	p4
100.856000	102.139000	p1
104.913000	106.126000	p1
112.921000	114.135000	p1
116.908000	118.087000	p1
121.069000	122.144000	p4
124.709000	125.715000	p4
128.419000	129.667000	p1
132.475000	133.308000	p4
136.116000	137.017000	p4
143.709000	144.783000	p4
147.418000	148.632000	p1
151.440000	152.619000	p4
155.115000	156.121000	p4
158.721000	160.177000	p1
162.743000	163.748000	p1
166.834000	167.839000	p4
174.080000	175.328000	p1
178.102000	179.384000	p1
182.019000	182.886000	p4
185.521000	186.631000	p1
189.578000	190.722000	p1
193.461000	194.293000	p4
197.240000	198.106000	p4
204.832000	205.907000	p1
208.612000	209.686000	p1
212.529000	213.327000	p4
216.100000	217.314000	p1
219.949000	220.920000	p4
223.485000	224.595000	p1
227.611000	228.651000	p1
235.169000	236.140000	p1q
238.809000	239.676000	p4
242.415000	243.525000	p1
246.229000	247.442000	p1
250.147000	251.048000	p4
253.544000	254.480000	p4
257.358000	258.156000	p1
268.141000	269.319000	p1
272.024000	272.960000	p4
275.491000	276.565000	p4
278.958000	280.310000	p1
282.771000	284.158000	p1
286.759000	287.591000	p4
297.402000	298.408000	p4
300.973000	302.118000	p1
304.857000	305.966000	p1
308.601000	309.468000	p4
311.999000	313.108000	p1
315.812000	316.887000	p4
319.314000	320.077000	p4
326.803000	327.878000	p4
329.958000	331.137000	p1
333.598000	334.812000	p4
337.204000	338.348000	p1
340.948000	342.127000	p4
344.381000	345.490000	p4
347.952000	348.784000	p1
9.430000	9.430000	n: Counl there the something here?
